Title,Date,Description,Subjects,Location,Latitude,Longitude,Identifier,link,cdmid,Search
"Wallace (Idaho), Flood of 1906",11/15/1906,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures); groups of people; railroads; floods (natural events); | Debris; Wooden Buildings; Cities and towns; Men; Women;,Wallace,47.472115,-115.915984,8-X00096,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/19,19,"Wallace (Idaho), Flood of 1906 | 2511 | Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906. | buildings (structures); groups of people; railroads; floods (natural events); | Debris; Wooden Buildings; Cities and towns; Men; Women; | Wallace"
"Wallace (Idaho), Flood of 1906",11/15/1906,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures); groups of people; floods (natural events); | Debris; Wooden Buildings; Buildings; Bricks; Cities and towns; Men;,Wallace,47.472125,-115.915974,8-X00097,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/20,20,"Wallace (Idaho), Flood of 1906 | 2511 | Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906. | buildings (structures); groups of people; floods (natural events); | Debris; Wooden Buildings; Buildings; Bricks; Cities and towns; Men; | Wallace"
"Wallace (Idaho), Wallace High School, Gymnasium, 1915",5/27/1915,"Interior view of the Wallace High School Gymnasium, May 27, 1915. Students are pictured using various gymnastic equipment.",groups of people; gymnasiums; |,Wallace,47.473851,-115.926165,8-X00098,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/21,21,"Wallace (Idaho), Wallace High School, Gymnasium, 1915 | 5626 | Interior view of the Wallace High School Gymnasium, May 27, 1915. Students are pictured using various gymnastic equipment. | groups of people; gymnasiums; |  | Wallace"
"Burke (Idaho), Gorge Gulch, 1907",1907,"A distant view of Gorge Gulch and Burke, Idaho in May 1907.  Caption on back:""Benton Mag. Ce. Dump""",buildings (structures); dwellings; railroads; | Wooden Buildings; Houses; Cities and towns;,Burke,47.522356,-115.81256,8-X00099,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/22,22,"Burke (Idaho), Gorge Gulch, 1907 | 1907 | A distant view of Gorge Gulch and Burke, Idaho in May 1907.  Caption on back:""Benton Mag. Ce. Dump"" | buildings (structures); dwellings; railroads; | Wooden Buildings; Houses; Cities and towns; | Burke"
"Wallace (Idaho), City Dairy",,Interior view of a dairy where cows being milked by machine.,dairy barns; business (commercial function); | Milking; Dairy cattle;,Wallace,47.473379,-115.923749,8-X00005b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/23,23,"Wallace (Idaho), City Dairy |  | Interior view of a dairy where cows being milked by machine. | dairy barns; business (commercial function); | Milking; Dairy cattle; | Wallace"
"Wallace (Idaho), Grand Theatre",1910,"Interior view of the Grand Theatre in Wallace, Idaho, showing the drop curtain.",asbestos curtains; theaters (buildings); |,Wallace,,,8-X00100,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/24,24,"Wallace (Idaho), Grand Theatre | 1910 | Interior view of the Grand Theatre in Wallace, Idaho, showing the drop curtain. | asbestos curtains; theaters (buildings); |  | Wallace"
"Wallace (Idaho), Grand Theatre",2/1/1916,"Interior view from the stage of the Grand Theater in Wallace, Idaho.",theaters (buildings); |,Wallace,,,8-X00101a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/25,25,"Wallace (Idaho), Grand Theatre | 5876 | Interior view from the stage of the Grand Theater in Wallace, Idaho. | theaters (buildings); |  | Wallace"
"Wallace (Idaho), Grand Theatre (new)",,"Interior view of the new Grand Theater in Wallace, Idaho.",asbestos curtains; theaters (buildings); |,Wallace,,,8-X00101b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/26,26,"Wallace (Idaho), Grand Theatre (new) |  | Interior view of the new Grand Theater in Wallace, Idaho. | asbestos curtains; theaters (buildings); |  | Wallace"
"Wallace (Idaho), Grand Theatre, 1916",1916,"Exterior view of the Grand Theater in Wallace, Idaho.",buildings (structures); theaters (buildings); | Buildings; Bricks; Cities and towns;,Wallace,,,8-X00102b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/27,27,"Wallace (Idaho), Grand Theatre, 1916 | 1916 | Exterior view of the Grand Theater in Wallace, Idaho. | buildings (structures); theaters (buildings); | Buildings; Bricks; Cities and towns; | Wallace"
"Gem  (Idaho), 1907",1907,"Image is of""The Canyon,"" near Hecla Mill, showing two lines of standard gauge railway on 4% grade, two railway spurs and two flumes.",buildings (structures); dwellings; | Wooden buildings; Houses; Cities and towns;,Gem (Burke),47.521953,-115.81455,8-X00103,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/28,28,"Gem  (Idaho), 1907 | 1907 | Image is of""The Canyon,"" near Hecla Mill, showing two lines of standard gauge railway on 4% grade, two railway spurs and two flumes. | buildings (structures); dwellings; | Wooden buildings; Houses; Cities and towns; | Gem (Burke)"
"Gem  (Idaho), 1910",1910,"Image is of ""The Canyon,"" near Hecla Mill, Showing two lines of standard gauge railway on 4% grade, two railway spurs and two flumes",buildings (structures); dwellings; railroads; | Wooden buildings; Houses; Cities and towns;,Gem (Burke),47.521963,-115.81465,8-X00104,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/29,29,"Gem  (Idaho), 1910 | 1910 | Image is of ""The Canyon,"" near Hecla Mill, Showing two lines of standard gauge railway on 4% grade, two railway spurs and two flumes | buildings (structures); dwellings; railroads; | Wooden buildings; Houses; Cities and towns; | Gem (Burke)"
"Burke (Idaho), 1914",4/28/1914,"Image looking into Burke, Idaho, a Northern Pacific railcar 28031 is pictured on the right.",buildings (structures); railroads; railroads cars; | Railroad freight cars; Wooden Buildings; Cities and towns;,Burke,47.521973,-115.81445,8-X00105a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/30,30,"Burke (Idaho), 1914 | 5232 | Image looking into Burke, Idaho, a Northern Pacific railcar 28031 is pictured on the right. | buildings (structures); railroads; railroads cars; | Railroad freight cars; Wooden Buildings; Cities and towns; | Burke"
"Burke (Idaho), 1914",1914,"Image looking from in town to the Northern Pacific Railway in Burke, Idaho. Photographs was taken for Mr. Goddard, a N.P. [Northern Pacific] claim agent.",buildings (structures); railroads; railroads cars; | Railroad freight cars; Wooden Buildings; Buildings; Bricks; Cities and towns; Men;,Burke,47.521983,-115.81475,8-X00105b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/31,31,"Burke (Idaho), 1914 | 1914 | Image looking from in town to the Northern Pacific Railway in Burke, Idaho. Photographs was taken for Mr. Goddard, a N.P. [Northern Pacific] claim agent. | buildings (structures); railroads; railroads cars; | Railroad freight cars; Wooden Buildings; Buildings; Bricks; Cities and towns; Men; | Burke"
Coeur d'Alene cut off,,Image shows the  N.P. [Northern Pacific] train with rotary plow.,steam locomotives; | Mine railroad trains; Railroad tracks; | Railroad snowplow locomotives;,Coeur d'Alene,,,8-X00049b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/32,32,Coeur d'Alene cut off |  | Image shows the  N.P. [Northern Pacific] train with rotary plow. | steam locomotives; | Mine railroad trains; Railroad tracks; | Railroad snowplow locomotives; | Coeur d'Alene
"Gem  (Idaho), 1914",1914,"View taken on the railroad track going into Gem, Idaho.",buildings (structures); railroads; | Wooden buildings;,Gem (Burke),47.507922,-115.869847,8-X00106a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/33,33,"Gem  (Idaho), 1914 | 1914 | View taken on the railroad track going into Gem, Idaho. | buildings (structures); railroads; | Wooden buildings; | Gem (Burke)"
"Spokane Interstate Fair, Spokane (Wash.), 1908",1908,Image of a diploma awarded to Black Horse Mine for exhibit of Lead Silver at the Spokane Interstate Fair in 1908.,|,United States--Washington--Spokane County--Spokane (Greenacres),47.597914,-115.74749,8-X00006,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/34,34,"Spokane Interstate Fair, Spokane (Wash.), 1908 | 1908 | Image of a diploma awarded to Black Horse Mine for exhibit of Lead Silver at the Spokane Interstate Fair in 1908. |  |  | United States--Washington--Spokane County--Spokane (Greenacres)"
"Gem  (Idaho), 1914",1914,"View taken on the railroad track going into Gem, Idaho.",buildings (structures); dwellings; railroads; | Wooden buildings; Houses; Cities and towns;,Gem (Burke),47.507932,-115.869857,8-X00106b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/35,35,"Gem  (Idaho), 1914 | 1914 | View taken on the railroad track going into Gem, Idaho. | buildings (structures); dwellings; railroads; | Wooden buildings; Houses; Cities and towns; | Gem (Burke)"
"Gem  (Idaho), 1914",1914,"Image of the Northern Pacific Railway taken in Gem, Idaho [1914] for Mr. Goddard a N.P. [Northern Pacific] claim agent.",buildings (structures); dwellings; railroads; | Wooden buildings; Houses; Cities and towns;,Gem (Burke),47.520278,-115.819167,8-X00106c,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/36,36,"Gem  (Idaho), 1914 | 1914 | Image of the Northern Pacific Railway taken in Gem, Idaho [1914] for Mr. Goddard a N.P. [Northern Pacific] claim agent. | buildings (structures); dwellings; railroads; | Wooden buildings; Houses; Cities and towns; | Gem (Burke)"
Golden Chest Mine,,"Image of Golden Chest Mine, a gold mine near Murray, Idaho.",buildings (structures); groups of people; mills (buildings); railroads; | Wooden buildings; Men;,(Murray),47.616873,-115.834609,8-X00107a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/37,37,"Golden Chest Mine |  | Image of Golden Chest Mine, a gold mine near Murray, Idaho. | buildings (structures); groups of people; mills (buildings); railroads; | Wooden buildings; Men; |  (Murray)"
Golden Chest Mine,,"Image of Golden Chest Mine, a gold mine near Murray, Idaho.",buildings (structures); mills (buildings); railroads; | Wooden buildings;,(Murray),47.616863,-115.834619,8-X00107b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/38,38,"Golden Chest Mine |  | Image of Golden Chest Mine, a gold mine near Murray, Idaho. | buildings (structures); mills (buildings); railroads; | Wooden buildings; |  (Murray)"
Store front,,Exterior view of a store front.,buildings (structures); | Buildings; Bricks; Cities and towns;,,47.472262,-115.923491,8-X00108,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/39,39,Store front |  | Exterior view of a store front. | buildings (structures); | Buildings; Bricks; Cities and towns; |
"Hunter Mill, Mullan (Idaho), 1907",1907,"Image of the Hunter Mill in Mullan, Idaho.",buildings (structures); mills (buildings); railroads; | Wooden Buildings;,Mullan,47.466012,-115.811012,8-X00109,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/40,40,"Hunter Mill, Mullan (Idaho), 1907 | 1907 | Image of the Hunter Mill in Mullan, Idaho. | buildings (structures); mills (buildings); railroads; | Wooden Buildings; | Mullan"
"Wallace (Idaho), Interstate Rubber Co.",,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipment; business (commercial function); | Rubber machinery; |,Wallace,,,8-X00110a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/41,41,"Wallace (Idaho), Interstate Rubber Co. |  | Interior view of the Interstate Rubber Company in Wallace, Idaho. | equipment; business (commercial function); | Rubber machinery; |  | Wallace"
"Wallace (Idaho), Interstate Rubber Co.",,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipment; business (commercial function); | Rubber machinery; |,Wallace,,,8-X00110b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/42,42,"Wallace (Idaho), Interstate Rubber Co. |  | Interior view of the Interstate Rubber Company in Wallace, Idaho. | equipment; business (commercial function); | Rubber machinery; |  | Wallace"
"Wallace (Idaho), Interstate Rubber Co.",,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipment; business (commercial function); | Rubber machinery; |,Wallace,,,8-X00110c,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/43,43,"Wallace (Idaho), Interstate Rubber Co. |  | Interior view of the Interstate Rubber Company in Wallace, Idaho. | equipment; business (commercial function); | Rubber machinery; |  | Wallace"
"Wallace (Idaho), Interstate Rubber Co.",,"Interior view of the Interstate Rubber Company in Wallace, Idaho.",equipment; business (commercial function); | Rubber machinery; |,Wallace,,,8-X00110d,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/44,44,"Wallace (Idaho), Interstate Rubber Co. |  | Interior view of the Interstate Rubber Company in Wallace, Idaho. | equipment; business (commercial function); | Rubber machinery; |  | Wallace"
"Arizona Placer mine, Murray (Idaho)",,Image shows hydraulic mining in Dream Gulch. Miners are seen holding a water hose and standing water fall and stream with mining tools.,mines (extracting complexes); mine buildings; gold mines; | Mines and mineral resources -- Idaho; Gold mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings; Hydraulic mining;,Murray,47.627705,-115.873221,8-X00008,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/45,45,"Arizona Placer mine, Murray (Idaho) |  | Image shows hydraulic mining in Dream Gulch. Miners are seen holding a water hose and standing water fall and stream with mining tools. | mines (extracting complexes); mine buildings; gold mines; | Mines and mineral resources -- Idaho; Gold mines and mining -- Idaho; Wooden-frame buildings; | Mining; Mine buildings; Hydraulic mining; | Murray"
"Wallace  (Idaho), Band Boys, 1908",7/4/1908,"Image shows band members posing for a photograph holding their instruments on July 4, 1908.",bands (ensembles); | Bands; Band uniforms; Men;,Wallace,47.473371,-115.923799,8-X00050,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/46,46,"Wallace  (Idaho), Band Boys, 1908 | 3108 | Image shows band members posing for a photograph holding their instruments on July 4, 1908. | bands (ensembles); | Bands; Band uniforms; Men; | Wallace"
"Interstate Callahan Mill, Wallace (Idaho), 1915",1915,"Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",buildings (structures); mills (buildings); | Wooden Buildings;,Wallace,47.4774999,-115.902675,8-X00111a,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/47,47,"Interstate Callahan Mill, Wallace (Idaho), 1915 | 1915 | Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek. | buildings (structures); mills (buildings); | Wooden Buildings; | Wallace"
"Interstate Callahan Mill, Wallace (Idaho), 1915",1915,"Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek at sunset.",buildings (structures); mills (buildings); | Wooden Buildings;,Wallace,47.4774989,-115.902665,8-X00111b,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/48,48,"Interstate Callahan Mill, Wallace (Idaho), 1915 | 1915 | Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek at sunset. | buildings (structures); mills (buildings); | Wooden Buildings; | Wallace"
"Interstate Callahan Mill, Wallace (Idaho), 1915",1915,"Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",buildings (structures); mills (buildings); | Wooden Buildings;,Wallace,47.4774979,-115.902655,8-X00112,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/49,49,"Interstate Callahan Mill, Wallace (Idaho), 1915 | 1915 | Image of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek. | buildings (structures); mills (buildings); | Wooden Buildings; | Wallace"
"Interstate Callahan Mill, Wallace (Idaho), 1915",1915,"A birds eye view of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek at sunset.",buildings (structures); mills (buildings); | Wooden Buildings;,Wallace,47.4774969,-115.902685,8-X00114,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/50,50,"Interstate Callahan Mill, Wallace (Idaho), 1915 | 1915 | A birds eye view of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek at sunset. | buildings (structures); mills (buildings); | Wooden Buildings; | Wallace"
"Interstate Callahan Mill, Wallace (Idaho), 1915",1915,"Image, taken from the school house, of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",buildings (structures); mills (buildings); | Wooden Buildings;,Wallace,47.4750001,-115.902645,8-X00115,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/51,51,"Interstate Callahan Mill, Wallace (Idaho), 1915 | 1915 | Image, taken from the school house, of the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek. | buildings (structures); mills (buildings); | Wooden Buildings; | Wallace"
"Interstate Callahan Mill, Wallace (Idaho), 1915",1915,"Image of the bunkhouses at the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek.",camps (temporary settlements); buildings (structures); mills (buildings); | Wooden Buildings;,Wallace,47.4775011,-115.902634,8-X00116,http://digital.lib.uidaho.edu/cdm/ref/collection/bar-stock/id/52,52,"Interstate Callahan Mill, Wallace (Idaho), 1915 | 1915 | Image of the bunkhouses at the Interstate Callahan Mill located northwest of Wallace, Idaho on Nine Mile Creek. | camps (temporary settlements); buildings (structures); mills (buildings); | Wooden Buildings; | Wallace"
