orglink,uni,coll,header,image,p,d
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n19263,College of Engineering,,http://vivo.nkn.uidaho.edu/individual/n13454,Chemical & Materials Engineering
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n19263,College of Engineering,,http://vivo.nkn.uidaho.edu/individual/n22895,Civil Engineering
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n19263,College of Engineering,,http://vivo.nkn.uidaho.edu/individual/n9880,Computer Science
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n19263,College of Engineering,,http://vivo.nkn.uidaho.edu/individual/n14113,Electrical & Computer Engineering
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n19263,College of Engineering,,http://vivo.nkn.uidaho.edu/individual/n6061,Mechanical Engineering
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n41165,English
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n40830,History
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n56213,International Studies
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n22995,Journalism & Mass Media
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n4975,Lionel Hampton School of Music
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n25295,Modern Languages & Cultures
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n13066,Politics and Philosophy
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n24981,Psychology & Communication Studies
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n1270,Sociology & Anthropology
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n14472,"College of Letters, Arts, and Social Sciences",,http://vivo.nkn.uidaho.edu/individual/n60133,Theatre Arts
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n10830,College of Natural Resources,,http://vivo.nkn.uidaho.edu/individual/n31372,Fish and Wildlife Sciences
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n10830,College of Natural Resources,,http://vivo.nkn.uidaho.edu/individual/n49106,"Forest, Rangeland & Fire Sciences"
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n10830,College of Natural Resources,,http://vivo.nkn.uidaho.edu/individual/n39633,Natural Resources and Society
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13549,College of Science,,http://vivo.nkn.uidaho.edu/individual/n6256,Biological Sciences
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13549,College of Science,,http://vivo.nkn.uidaho.edu/individual/n6506,Chemistry
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13549,College of Science,,http://vivo.nkn.uidaho.edu/individual/n9521,Geography
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13549,College of Science,,http://vivo.nkn.uidaho.edu/individual/n44652,Geological Sciences
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13549,College of Science,,http://vivo.nkn.uidaho.edu/individual/n21251,Mathematics
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13549,College of Science,,http://vivo.nkn.uidaho.edu/individual/n4790,Physics
http://vivo.nkn.uidaho.edu/individual/n333,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13549,College of Science,,http://vivo.nkn.uidaho.edu/individual/n50414,Statistical Science
